10,2020,040900,"113000, 210000-813000, 92000",,1,00-000000,  Total Nonfarm,"828,000","827,400","830,500","834,900","840,400","842,000","829,100","826,600","828,000","833,600","834,500","832,300","820,900","823,400","825,000","828,800","830,500","831,900","823,300","827,900","832,100","836,700","840,800","838,400","827,000","832,500","836,400","846,700","851,900","859,800","845,900","849,200","849,400","855,000","861,600","859,200","855,400","861,400","865,100","867,200","871,000","874,300","864,600","869,600","871,700","876,900","884,900","883,800","873,000","876,400","880,900","886,100","891,700","898,400","885,500","891,400","892,900","899,900","906,600","903,600","897,400","899,600","905,700","910,800","915,500","921,500","919,100","921,500","922,100","932,900","938,400","940,600","930,700","937,000","937,700","946,800","950,400","954,200","952,200","955,600","955,100","960,400","965,700","966,600","950,100","954,500","960,900","966,600","972,900","979,800","971,400","973,900","975,900","984,900","989,200","992,500","980,000","985,600","987,500","993,600","999,800","1,006,500","999,400","1,004,800","1,004,400","1,012,000","1,017,200","1,018,600","1,004,300","1,008,800","1,012,800","1,015,500","1,021,600","1,025,500","1,020,300","1,027,800","1,024,500","1,034,600","1,040,300","1,036,100","1,026,400","1,032,100","1,027,400","899,300","914,300","947,700","949,900","952,700","960,900","976,600","979,900","974,700","959,100","967,200","972,900","979,700","982,700","993,100","986,100","994,500","995,700","1,007,200","1,012,600"
11,2020,040900,"113000, 210000-813000",,1,05-000000,    Total Private,"597,000","595,400","596,900","598,500","600,300","604,900","606,400","607,300","603,900","603,600","603,700","606,300","593,600","594,300","594,700","597,900","601,000","603,600","609,200","612,900","612,900","611,500","615,600","617,400","605,300","608,600","610,200","620,200","625,300","632,100","633,500","636,300","633,400","632,800","638,500","640,400","634,700","638,900","640,400","642,400","645,000","647,900","649,800","653,500","652,300","652,800","657,600","660,100","647,700","648,900","652,300","655,200","660,200","665,300","666,900","671,100","669,400","668,200","673,100","675,100","666,500","668,000","672,300","676,600","681,700","686,400","694,400","695,600","693,700","697,800","701,700","706,800","696,700","702,500","701,100","710,200","712,800","716,200","723,100","725,800","723,800","724,700","728,800","730,700","715,400","719,400","723,600","729,500","734,800","741,600","742,900","745,900","744,700","747,600","750,700","754,700","742,800","747,400","747,500","753,300","758,600","764,700","770,000","773,400","770,000","772,000","776,100","778,200","764,100","767,700","769,400","772,600","777,100","781,900","785,900","789,900","786,400","789,700","795,100","795,500","784,500","790,200","785,200","659,500","679,700","716,100","723,700","723,300","728,700","739,600","743,400","740,600","726,000","734,400","737,300","742,400","743,700","753,500","759,800","763,000","762,400","768,700","771,300"
12,2020,040900,"113000, 210000, 230000-330000",,1,06-000000,    Goods Producing,"69,900","68,700","69,500","70,300","71,400","73,100","73,900","74,900","73,900","73,100","71,500","69,800","67,100","67,000","66,600","68,200","69,600","70,900","72,600","74,100","74,500","74,100","72,300","70,300","68,300","68,200","67,400","69,200","71,800","73,900","75,700","77,000","77,000","76,100","74,800","73,900","72,400","73,600","74,200","75,600","77,200","78,600","80,000","81,900","81,900","81,000","79,700","78,700","76,800","77,200","77,400","78,600","80,900","82,300","83,700","85,100","85,000","84,200","83,700","81,300","80,900","81,100","82,400","84,000","85,800","87,700","89,600","90,600","90,900","91,500","90,700","90,000","86,900","87,900","87,300","90,200","91,600","92,600","94,800","95,600","95,500","93,900","92,900","90,500","87,000","88,100","90,300","91,500","94,400","96,600","97,700","98,700","99,300","99,500","97,500","97,500","94,100","95,800","94,500","96,600","99,100","102,400","104,300","105,800","106,000","105,300","104,100","103,200","99,900","100,800","101,800","103,500","105,900","108,100","109,300","111,100","110,700","111,400","110,200","108,100","106,000","108,400","108,600","97,300","103,800","106,600","106,800","108,200","108,300","108,700","106,900","109,200","107,400","108,400","109,100","111,600","112,900","116,300","116,900","118,900","118,200","118,100","116,900"
13,2020,040900,"10000000, 20000000",,1,15-000000,"     Mining, Logging, and Construction","37,500","36,500","37,200","38,000","39,000","40,500","41,000","41,100","40,000","39,800","38,800","37,000","34,800","34,600","34,000","35,500","36,700","37,700","39,700","40,100","40,100","39,800","39,000","36,800","35,200","35,100","34,400","35,800","38,200","39,900","41,200","41,800","41,700","41,900","41,100","40,300","39,100","40,100","40,900","41,900","43,400","44,700","45,800","46,800","46,600","46,500","45,300","44,100","42,600","42,700","42,900","43,900","46,000","47,100","47,900","48,500","48,300","48,400","47,900","45,500","45,400","45,600","46,600","48,000","49,700","51,300","52,700","53,300","53,400","54,900","54,300","53,600","50,700","51,700","51,000","54,200","55,300","56,600","58,300","58,700","58,500","58,000","57,300","55,100","51,900","52,900","55,600","56,400","58,900","61,000","61,800","62,400","62,600","63,200","61,500","61,400","59,400","60,900","59,500","61,600","63,700","66,300","67,500","68,800","68,900","68,500","67,600","66,800","63,800","64,700","65,900","67,300","69,500","71,500","72,800","73,600","73,000","73,400","73,000","70,700","69,100","71,100","71,300","63,400","69,100","70,700","71,000","71,800","71,500","73,000","71,900","74,000","72,300","73,500","74,600","76,400","77,200","79,300","80,200","80,800","80,500","80,200","79,200"
14,2020,040900,"1133000, 210000",,1,10-000000,      Mining and Logging,300,300,400,400,400,500,500,500,500,500,500,500,400,400,400,400,400,400,400,500,500,500,500,400,400,400,400,300,400,400,400,400,400,400,400,400,300,300,300,300,400,400,400,400,400,400,400,400,300,400,300,400,400,500,400,500,400,500,500,400,400,400,400,400,400,400,500,500,500,500,400,400,400,400,400,400,400,400,500,500,500,500,500,400,400,400,400,400,400,500,500,500,500,500,400,400,400,400,400,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,600,600,500,500,500,500,500,500,500,500,600,600,600,600,600,600,600,600,500,500,600,600,600,600,600,600,600,600,600
15,2020,040900,,,1,20-000000,      Construction,"37,200","36,200","36,800","37,600","38,600","40,000","40,500","40,600","39,500","39,300","38,300","36,500","34,400","34,200","33,600","35,100","36,300","37,300","39,300","39,600","39,600","39,300","38,500","36,400","34,800","34,700","34,000","35,500","37,800","39,500","40,800","41,400","41,300","41,500","40,700","39,900","38,800","39,800","40,600","41,600","43,000","44,300","45,400","46,400","46,200","46,100","44,900","43,700","42,300","42,300","42,600","43,500","45,600","46,600","47,500","48,000","47,900","47,900","47,400","45,100","45,000","45,200","46,200","47,600","49,300","50,900","52,200","52,800","52,900","54,400","53,900","53,200","50,300","51,300","50,600","53,800","54,900","56,200","57,800","58,200","58,000","57,500","56,800","54,700","51,500","52,500","55,200","56,000","58,500","60,500","61,300","61,900","62,100","62,700","61,100","61,000","59,000","60,500","59,100","61,200","63,200","65,800","67,000","68,300","68,400","68,000","67,100","66,300","63,300","64,200","65,400","66,800","69,000","71,000","72,200","73,000","72,500","72,900","72,500","70,200","68,600","70,600","70,800","62,900","68,500","70,100","70,400","71,200","70,900","72,400","71,300","73,400","71,800","73,000","74,000","75,800","76,600","78,700","79,600","80,200","79,900","79,600","78,600"
16,2020,040900,,,1,20-236000,        Construction of Buildings,"8,900","8,700","8,600","8,700","8,800","9,000","9,100","9,200","9,000","8,900","8,800","8,600","8,300","8,100","8,100","8,300","8,500","8,800","8,900","9,100","9,100","9,000","9,000","8,600","8,400","8,300","8,400","8,700","9,200","9,600","9,700","9,900","9,700","9,700","9,500","9,600","8,800","8,900","8,900","9,200","9,500","9,600","9,800","9,900","9,900","9,700","9,700","9,500","9,500","9,700","9,700","9,700","9,800","10,000","10,300","10,500","10,400","10,300","10,300","9,900","9,900","9,900","10,000","10,200","10,200","10,400","10,200","10,400","10,200","10,600","10,600","10,600","10,400","10,400","10,300","10,800","11,000","11,300","11,600","11,500","11,400","11,500","11,400","11,200","10,800","11,000","11,300","11,700","12,000","12,400","12,600","12,600","12,700","12,900","12,800","12,900","12,900","13,200","13,000","13,300","13,400","13,700","14,000","14,200","14,100","14,300","14,200","14,200","13,700","14,100","14,100","14,300","14,700","15,100","15,400","15,300","14,900","15,200","15,100","14,900","14,700","15,000","14,900","13,400","14,400","14,700","14,800","14,800","14,700","15,200","14,700","14,800","14,500","14,700","14,700","15,000","15,100","15,200","15,100","15,100","15,200","15,400","15,000"
18,2020,040900,,,1,20-238000,        Specialty Trade Contractors,"24,300","23,700","24,200","24,700","25,300","26,200","26,500","26,400","25,600","25,500","25,000","23,900","22,400","22,300","22,000","22,600","23,600","24,100","25,300","25,400","25,300","25,100","24,500","23,300","22,100","22,200","21,700","22,700","24,000","25,000","26,000","26,400","26,500","26,500","26,200","25,700","25,600","26,200","26,900","27,600","28,500","29,300","30,200","30,900","30,600","30,500","29,800","29,200","28,100","28,100","28,400","28,800","30,200","30,900","31,600","31,800","31,500","31,500","31,300","30,000","29,800","30,200","30,900","31,800","33,100","34,500","35,900","36,300","36,600","37,400","37,200","36,700","35,100","35,900","35,600","37,800","38,500","39,300","40,400","40,900","40,600","40,300","39,700","38,400","36,400","37,000","38,700","39,100","40,800","42,100","42,500","42,900","42,800","43,000","42,100","42,000","40,700","41,700","40,900","42,200","43,400","45,400","46,100","47,100","47,200","46,600","46,000","45,700","44,000","44,300","45,200","46,100","47,500","48,800","49,500","50,300","50,100","50,100","49,900","48,600","47,800","49,300","49,500","43,200","46,900","48,100","48,100","48,700","48,700","49,000","49,700","51,200","49,800","50,700","51,600","52,400","52,900","54,400","56,200","56,500","55,800","55,100","55,200"
19,2020,040900,,,1,20-238100,          Building Foundation & Exterior Contractors,"5,200","5,100","5,300","5,400","5,600","6,000","6,000","6,000","5,700","5,700","5,800","5,500","4,800","4,700","4,700","4,900","5,200","5,400","5,900","5,900","5,900","6,000","5,900","5,400","5,100","5,000","4,800","5,100","5,400","5,900","6,300","6,500","6,500","6,500","6,300","6,200","6,600","6,800","7,000","6,900","7,000","7,100","7,500","7,800","7,800","7,700","7,400","7,400","7,100","7,200","7,200","7,200","7,800","8,100","8,300","8,500","8,200","8,200","8,100","7,700","7,900","8,000","8,200","8,400","8,800","9,300","9,900","9,700","9,800","10,100","9,900","9,700","9,100","9,300","9,300","10,100","10,300","10,700","11,200","11,300","11,200","11,100","10,800","10,400","9,800","9,800","10,500","10,700","11,400","11,900","12,000","12,300","12,300","12,300","11,900","12,000","11,600","12,100","11,500","12,000","12,500","12,800","13,200","13,700","13,600","13,100","12,800","12,600","12,000","12,000","12,500","12,900","13,300","13,900","14,000","14,300","14,200","13,900","13,800","13,200","13,000","13,500","13,800","11,900","12,500","12,700","12,700","13,000","13,000","13,200","13,400","14,200","13,600","14,300","14,500","14,800","14,900","15,300","15,500","15,700","15,500","15,200","15,000"
20,2020,040900,,,1,20-238200,          Building Equipment Contractors,"10,200","10,000","10,100","10,200","10,200","10,400","10,700","10,700","10,400","10,100","10,100","10,000","9,800","9,600","9,500","9,400","9,500","9,700","10,000","10,100","9,900","9,800","9,700","9,600","9,200","9,300","9,100","9,400","9,700","10,000","10,300","10,400","10,400","10,600","10,600","10,600","10,200","10,400","10,600","10,800","11,100","11,500","11,700","11,800","11,700","11,600","11,600","11,500","11,200","11,100","11,200","11,400","11,700","11,900","12,100","12,100","12,200","12,400","12,400","12,300","12,200","12,400","12,600","13,100","13,500","13,800","14,400","14,700","14,800","15,000","15,000","15,200","15,100","15,400","15,400","15,800","16,100","16,200","16,400","16,500","16,500","16,100","16,000","15,700","15,300","15,400","15,700","15,700","16,000","16,400","16,500","16,600","16,500","16,600","16,500","16,400","16,200","16,300","16,400","16,500","16,700","17,900","18,300","18,300","18,300","18,300","18,300","18,500","18,200","18,300","18,400","18,500","19,000","19,400","19,700","19,900","19,800","19,900","20,000","19,900","19,800","20,100","20,100","18,100","19,400","19,800","19,900","20,100","20,300","20,200","20,200","20,300","19,800","19,900","20,200","20,400","20,700","21,000","21,600","21,700","21,800","21,800","22,000"
21,2020,040900,,,1,20-238300,          Building Finishing Contractors,"5,900","5,600","5,600","5,800","5,900","6,000","6,000","5,900","5,700","5,800","5,400","5,100","4,800","4,900","4,900","5,200","5,400","5,500","5,600","5,700","5,700","5,700","5,400","5,200","5,000","5,100","5,000","5,300","5,700","5,800","5,900","6,000","6,000","5,900","5,900","5,800","5,800","5,800","5,900","6,400","6,600","6,800","7,000","7,100","7,000","7,100","7,000","6,600","6,600","6,700","6,800","6,800","7,000","7,100","7,300","7,300","7,300","7,300","7,300","6,900","6,700","6,800","7,000","7,100","7,300","7,600","7,700","7,800","7,800","8,100","8,300","8,100","7,600","7,600","7,600","7,900","8,000","8,200","8,500","8,800","8,700","8,900","8,900","8,600","8,100","8,200","8,600","8,800","9,100","9,400","9,400","9,400","9,200","9,300","9,100","9,100","8,800","8,900","8,900","9,200","9,300","9,600","9,600","9,900","10,200","10,100","10,000","9,900","9,600","9,600","9,800","10,000","10,100","10,300","10,600","10,600","10,700","10,900","10,800","10,600","10,300","10,700","10,800","9,000","10,100","10,300","10,300","10,400","10,300","10,500","10,700","10,700","10,400","10,400","10,600","10,700","10,900","11,200","11,700","11,800","11,500","11,300","11,200"
23,2020,040900,210000-330000,,1,30-000000,      Manufacturing,"32,400","32,200","32,300","32,300","32,400","32,600","32,900","33,800","33,900","33,300","32,700","32,800","32,300","32,400","32,600","32,700","32,900","33,200","32,900","34,000","34,400","34,300","33,300","33,500","33,100","33,100","33,000","33,400","33,600","34,000","34,500","35,200","35,300","34,200","33,700","33,600","33,300","33,500","33,300","33,700","33,800","33,900","34,200","35,100","35,300","34,500","34,400","34,600","34,200","34,500","34,500","34,700","34,900","35,200","35,800","36,600","36,700","35,800","35,800","35,800","35,500","35,500","35,800","36,000","36,100","36,400","36,900","37,300","37,500","36,600","36,400","36,400","36,200","36,200","36,300","36,000","36,300","36,000","36,500","36,900","37,000","35,900","35,600","35,400","35,100","35,200","34,700","35,100","35,500","35,600","35,900","36,300","36,700","36,300","36,000","36,100","34,700","34,900","35,000","35,000","35,400","36,100","36,800","37,000","37,100","36,800","36,500","36,400","36,100","36,100","35,900","36,200","36,400","36,600","36,500","37,500","37,700","38,000","37,200","37,400","36,900","37,300","37,300","33,900","34,700","35,900","35,800","36,400","36,800","35,700","35,000","35,200","35,100","34,900","34,500","35,200","35,700","37,000","36,700","38,100","37,700","37,900","37,700"
24,2020,040900,"321000, 327000-330000",,1,31-000000,        Durable Goods,"21,700","21,600","21,700","21,600","21,700","21,900","22,200","22,100","22,000","21,900","21,800","21,900","21,900","21,900","22,100","22,100","22,300","22,700","22,600","22,800","22,900","22,700","22,700","22,900","22,700","22,700","22,700","22,900","23,100","23,200","23,400","23,500","23,400","23,300","23,100","23,000","22,900","23,100","23,100","23,400","23,500","23,600","23,700","23,800","23,900","24,100","24,100","24,200","24,000","24,200","24,200","24,300","24,400","24,500","24,600","24,800","24,800","24,800","24,800","24,800","24,400","24,400","24,500","24,700","24,800","24,800","24,900","24,900","24,900","25,000","24,800","24,800","24,800","24,800","24,800","24,400","24,200","24,200","24,200","24,100","24,100","23,900","23,700","23,600","23,400","23,400","22,900","23,100","23,100","23,300","23,200","23,100","23,300","23,600","23,600","23,700","22,600","22,700","22,800","22,700","22,900","23,500","23,600","23,500","23,400","23,700","23,700","23,700","23,600","23,600","23,400","23,400","23,500","23,600","23,600","23,800","23,800","24,000","24,000","24,000","23,700","23,900","23,900","21,700","22,200","22,900","22,800","22,700","22,700","22,300","22,300","22,400","22,300","22,400","22,300","22,400","22,600","23,100","22,800","22,900","22,600","22,700","22,800"
