County,Rates,Counts,Year
Inyo,22.03,3.0,2020
Kern,15.13,139.0,2020
Kings,3.37,5.0,2020
Lake,7.17,5.0,2020
Lassen,7.12,2.0,2020
Los Angeles,9.38,970.0,2020
Madera,1.98,3.0,2020
Marin,10.44,22.0,2020
Mariposa,0.0,0.0,2020
Mendocino,19.02,14.0,2020
Merced,6.38,18.0,2020
Modoc,0.0,0.0,2020
Mono,0.0,0.0,2020
Monterey,5.36,23.0,2020
Napa,3.45,5.0,2020
Nevada,21.77,18.0,2020
Orange,12.09,385.0,2020
Placer,7.3,26.0,2020
Plumas,0.0,0.0,2020
Riverside,11.08,274.0,2020
Sacramento,3.5,54.0,2020
San Benito,3.27,2.0,2020
San Bernardino,10.29,227.0,2020
San Diego,11.7,406.0,2020
San Francisco,38.1,380.0,2020
San Joaquin,6.71,51.0,2020
San Luis Obispo,12.5,33.0,2020
San Mateo,7.41,58.0,2020
Santa Barbara,2.33,10.0,2020
Santa Clara,4.38,84.0,2020
Santa Cruz,5.58,13.0,2020
Shasta,4.51,7.0,2020
Sierra,0.0,0.0,2020
Siskiyou,4.84,2.0,2020
Solano,6.19,26.0,2020
Sonoma,21.84,102.0,2020
Stanislaus,10.16,54.0,2020
Sutter,3.83,4.0,2020
Tehama,1.04,1.0,2020
Trinity,0.0,0.0,2020
Tulare,6.25,29.0,2020
Tuolumne,2.64,1.0,2020
