10,2020,036084,"113000, 210000-813000, 92000",,1,00-000000,  Total Nonfarm,"964,100","965,000","970,500","971,700","978,300","980,400","961,800","958,000","971,900","977,100","981,600","981,700","962,500","965,200","970,400","978,100","981,700","985,400","981,000","981,500","984,700","992,100","996,000","998,000","983,100","987,000","992,900","1,003,000","1,010,400","1,015,500","1,008,300","1,011,200","1,013,300","1,022,800","1,031,200","1,033,500","1,014,400","1,020,800","1,026,300","1,033,000","1,038,500","1,037,700","1,034,000","1,037,700","1,040,300","1,050,900","1,057,000","1,055,000","1,037,300","1,043,700","1,048,300","1,057,200","1,064,100","1,067,900","1,059,100","1,062,800","1,064,500","1,073,300","1,083,800","1,084,500","1,068,200","1,072,700","1,080,900","1,089,700","1,095,400","1,098,700","1,097,500","1,100,900","1,102,600","1,114,400","1,121,300","1,123,900","1,105,900","1,113,700","1,116,300","1,129,700","1,132,900","1,134,100","1,133,000","1,135,200","1,140,600","1,152,000","1,157,700","1,157,800","1,136,100","1,142,800","1,152,500","1,153,600","1,161,500","1,166,200","1,157,500","1,159,500","1,163,300","1,173,600","1,177,800","1,180,800","1,159,500","1,168,500","1,173,800","1,176,700","1,182,400","1,186,000","1,176,100","1,180,200","1,180,400","1,187,800","1,193,100","1,195,500","1,169,800","1,177,100","1,182,200","1,184,000","1,190,000","1,193,700","1,186,100","1,190,700","1,188,600","1,194,600","1,204,700","1,205,900","1,186,200","1,193,800","1,183,900","1,003,900","1,030,500","1,057,700","1,054,400","1,062,500","1,068,300","1,082,800","1,090,700","1,092,000","1,073,400","1,083,200","1,090,300","1,091,600","1,098,800","1,100,400","1,092,200","1,097,600","1,101,800","1,115,500","1,123,300"
11,2020,036084,"113000, 210000-813000",,1,05-000000,    Total Private,"797,500","797,100","801,200","801,300","804,400","808,500","809,300","809,500","808,300","811,700","814,100","815,300","798,200","799,000","802,100","810,700","813,400","817,700","822,300","825,000","826,100","828,700","831,800","835,200","822,100","823,700","828,100","838,000","844,400","850,000","849,800","853,800","854,100","860,200","865,200","869,200","853,500","857,900","860,600","866,800","871,800","874,500","875,100","880,000","878,600","885,300","890,100","892,000","873,500","877,900","882,000","888,200","894,400","898,700","897,000","902,800","900,800","905,000","913,700","914,600","901,100","904,300","910,500","917,900","923,200","927,500","933,900","936,900","935,100","943,200","948,200","952,200","935,100","940,700","941,500","953,900","956,100","959,400","967,800","969,400","968,200","975,400","979,800","980,600","962,100","966,500","974,900","976,400","982,700","989,800","991,900","993,700","990,900","997,000","1,000,000","1,003,600","985,400","992,600","996,300","998,800","1,003,800","1,008,200","1,011,100","1,013,100","1,007,900","1,012,100","1,016,300","1,018,300","997,100","1,000,900","1,005,700","1,006,700","1,011,300","1,016,200","1,019,200","1,021,000","1,014,900","1,018,700","1,027,900","1,029,900","1,010,800","1,017,500","1,007,300","834,900","865,000","896,100","899,700","904,800","907,400","918,000","925,700","928,500","912,600","920,800","926,900","927,300","934,700","937,600","943,200","947,100","946,700","955,700","961,600"
12,2020,036084,"113000, 210000, 230000-330000",,1,06-000000,    Goods Producing,"128,000","127,400","128,600","125,000","126,000","127,100","128,800","129,400","128,200","128,100","127,200","125,800","124,500","124,000","123,800","125,500","127,000","128,500","131,700","132,800","131,900","131,900","131,400","131,000","128,400","128,700","128,600","130,000","132,200","134,200","135,400","136,300","136,000","136,800","135,800","135,100","133,500","134,300","134,900","135,400","136,200","137,800","139,000","140,700","140,000","140,600","140,000","138,600","136,300","137,100","137,600","138,800","140,500","142,600","144,600","146,200","146,500","146,600","147,400","145,600","144,800","144,700","146,500","147,800","149,500","151,300","153,800","155,200","155,200","156,400","156,200","155,300","153,400","155,200","154,700","157,100","157,900","159,300","162,000","162,700","162,900","163,700","162,900","161,300","158,500","160,100","162,800","162,700","165,300","167,500","170,300","171,400","171,600","172,200","171,700","171,900","170,600","174,100","173,400","174,100","175,600","176,100","178,400","178,000","177,500","177,600","177,100","176,600","172,300","173,100","174,900","175,300","176,200","177,700","178,800","179,200","178,900","178,300","178,200","177,400","174,900","177,200","176,800","146,600","160,200","168,100","168,200","169,800","170,300","171,600","170,200","172,300","173,800","175,100","174,300","171,100","174,900","173,700","173,100","173,000","172,700","171,900","168,700"
13,2020,036084,"10000000, 20000000",,1,15-000000,"      Mining, Logging, and Construction","47,100","46,200","47,200","47,600","48,100","48,800","49,700","50,300","49,000","48,900","47,700","46,200","45,000","44,500","44,000","45,400","46,500","47,500","49,900","51,200","51,300","51,600","51,100","50,600","48,400","48,700","48,300","49,200","51,400","53,100","54,200","55,200","55,100","56,100","55,400","54,900","54,000","54,400","54,900","55,300","55,800","57,100","58,000","59,000","58,400","59,300","58,500","57,000","55,200","55,700","55,900","56,600","57,900","59,300","60,700","62,000","61,800","61,600","61,500","59,400","59,100","58,800","60,100","60,700","61,900","62,900","64,300","65,500","65,300","66,400","66,400","65,600","63,400","64,900","64,500","66,900","67,500","68,200","69,900","70,500","70,600","71,900","70,900","68,800","65,900","66,900","68,400","68,900","70,800","72,100","73,600","74,300","74,400","74,500","73,800","73,500","71,700","74,800","73,900","74,400","75,400","75,700","76,400","76,000","76,100","76,500","76,000","74,800","71,300","71,800","73,400","74,500","75,700","76,900","77,800","78,100","77,900","77,700","77,400","75,500","74,200","75,700","74,800","54,000","66,200","70,600","70,800","71,900","71,600","73,000","72,100","72,700","74,200","74,400","73,900","72,500","75,900","74,400","72,900","74,200","74,600","74,600","71,200"
14,2020,036084,"1133000, 210000",,1,10-000000,      Mining and Logging,600,600,600,600,600,600,600,600,600,600,500,500,600,600,600,600,600,600,600,600,500,600,500,500,500,500,500,500,500,500,500,600,500,500,500,500,400,400,400,500,400,400,400,400,400,400,300,300,400,400,400,300,300,300,400,400,400,400,400,300,400,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,300,300,300,300,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
15,2020,036084,,,1,20-000000,      Construction,"46,500","45,600","46,600","47,000","47,500","48,200","49,100","49,700","48,400","48,300","47,200","45,700","44,400","43,900","43,400","44,800","45,900","46,900","49,300","50,600","50,800","51,000","50,600","50,100","47,900","48,200","47,800","48,700","50,900","52,600","53,700","54,600","54,600","55,600","54,900","54,400","53,600","54,000","54,500","54,800","55,400","56,700","57,600","58,600","58,000","58,900","58,200","56,700","54,800","55,300","55,500","56,300","57,600","59,000","60,300","61,600","61,400","61,200","61,100","59,100","58,700","58,500","59,800","60,400","61,600","62,600","64,000","65,200","65,000","66,100","66,100","65,300","63,100","64,600","64,200","66,600","67,200","67,900","69,600","70,200","70,300","71,600","70,600","68,600","65,700","66,700","68,200","68,700","70,600","71,900","73,400","74,100","74,200","74,300","73,600","73,300","71,500","74,600","73,700","74,200","75,200","75,500","76,200","75,800","75,900","76,300","75,800","74,600","71,100","71,600","73,200","74,300","75,500","76,700","77,600","77,900","77,700","77,500","77,200","75,200","73,900","75,400","74,500","53,800","66,000","70,400","70,600","71,700","71,400","72,800","71,900","72,500","74,000","74,200","73,700","72,300","75,700","74,200","72,700","74,000","74,400","74,400","71,000"
16,2020,036084,,,1,20-236000,        Construction of Buildings,"11,200","11,000","11,200","11,300","11,400","11,500","11,900","12,000","11,700","11,600","11,200","11,100","10,800","10,700","10,600","11,000","11,200","11,300","11,700","11,900","11,900","11,800","11,800","11,800","11,500","11,500","11,600","11,700","12,000","12,500","12,600","12,700","12,600","13,000","12,900","12,800","12,800","12,800","12,800","12,800","12,700","13,100","13,400","13,500","13,600","13,900","13,800","13,400","13,100","13,200","13,300","13,400","13,600","13,900","14,400","14,400","14,200","14,000","14,000","13,600","13,400","13,400","13,600","13,600","13,800","14,100","14,500","14,600","14,300","14,400","14,500","14,300","14,100","14,200","14,200","14,600","14,500","14,500","15,100","15,100","15,200","15,000","14,900","14,600","14,400","14,500","14,700","15,200","15,400","15,700","16,000","16,100","16,000","16,000","15,800","15,900","15,600","16,100","16,000","16,100","16,200","16,300","16,400","16,400","16,300","16,400","16,200","16,200","15,700","15,800","15,700","15,800","15,900","16,200","16,600","16,600","16,600","16,400","16,300","16,200","16,100","16,300","16,000","12,000","14,600","15,300","15,300","15,600","15,300","15,900","16,000","16,100","15,800","16,000","15,600","15,700","15,800","15,800","16,100","16,100","15,900","16,400","16,200"
17,2020,036084,,,1,20-236100,          Residential Building Construction,"6,800","6,800","7,000","7,100","7,200","7,200","7,200","7,200","7,200","7,300","7,000","6,900","6,800","6,700","6,700","7,000","7,100","7,100","7,300","7,500","7,500","7,500","7,500","7,400","7,300","7,300","7,300","7,500","7,700","8,000","7,900","7,900","7,800","8,100","8,000","8,000","8,000","8,000","8,000","8,100","8,000","8,200","8,500","8,500","8,600","8,800","8,800","8,600","8,500","8,500","8,500","8,600","8,700","8,900","9,200","9,200","9,100","9,000","9,000","8,700","8,600","8,600","8,700","8,800","8,900","9,100","9,200","9,200","9,000","9,100","9,100","8,900","8,800","8,800","8,800","9,200","9,100","9,100","9,500","9,400","9,500","9,500","9,400","9,200","9,100","9,000","9,200","9,600","9,600","9,700","9,900","10,000","10,000","10,100","10,000","10,100","9,900","10,300","10,100","10,400","10,500","10,600","10,700","10,700","10,700","10,800","10,700","10,700","10,300","10,400","10,400","10,500","10,600","10,600","10,800","10,800","10,700","10,700","10,800","10,700","10,700","10,800","10,500","7,600","9,600","10,000","10,100","10,300","10,100","10,500","10,600","10,600","10,500","10,700","10,400","10,500","10,600","10,600","10,900","10,900","10,800","11,200","11,000"
18,2020,036084,,,1,20-236200,          Nonresidential Building Construction,"4,400","4,200","4,200","4,200","4,200","4,300","4,700","4,800","4,500","4,300","4,200","4,200","4,000","4,000","3,900","4,000","4,100","4,200","4,400","4,400","4,400","4,300","4,300","4,400","4,200","4,200","4,300","4,200","4,300","4,500","4,700","4,800","4,800","4,900","4,900","4,800","4,800","4,800","4,800","4,700","4,700","4,900","4,900","5,000","5,000","5,100","5,000","4,800","4,600","4,700","4,800","4,800","4,900","5,000","5,200","5,200","5,100","5,000","5,000","4,900","4,800","4,800","4,900","4,800","4,900","5,000","5,300","5,400","5,300","5,300","5,400","5,400","5,300","5,400","5,400","5,400","5,400","5,400","5,600","5,700","5,700","5,500","5,500","5,400","5,300","5,500","5,500","5,600","5,800","6,000","6,100","6,100","6,000","5,900","5,800","5,800","5,700","5,800","5,900","5,700","5,700","5,700","5,700","5,700","5,600","5,600","5,500","5,500","5,400","5,400","5,300","5,300","5,300","5,600","5,800","5,800","5,900","5,700","5,500","5,500","5,400","5,500","5,500","4,400","5,000","5,300","5,200","5,300","5,200","5,400","5,400","5,500","5,300","5,300","5,200","5,200","5,200","5,200","5,200","5,200","5,100","5,200","5,200"
19,2020,036084,,,1,20-237000,        Heavy & Civil Engineering Construction,"5,600","5,300","5,500","5,700","5,900","5,900","6,000","6,200","6,200","6,200","6,000","5,700","5,500","5,500","5,400","5,700","6,000","6,200","6,800","7,000","7,000","6,900","6,800","6,600","6,100","6,200","6,000","6,300","6,900","7,300","7,500","7,700","7,600","7,400","7,100","6,800","6,500","6,600","6,500","6,500","6,700","6,700","6,600","6,600","6,400","6,800","6,700","6,300","5,900","5,700","5,800","6,000","6,200","6,500","6,500","6,700","6,700","6,700","6,600","6,300","6,000","5,900","6,200","6,300","6,500","6,600","6,800","6,900","7,000","7,600","7,500","7,300","6,700","7,400","6,900","7,500","7,800","8,100","8,500","8,500","8,600","8,800","8,700","8,000","6,800","7,300","7,900","7,600","8,300","8,700","9,100","9,300","9,600","9,700","9,300","9,200","8,600","9,400","9,100","8,700","9,100","9,100","8,900","8,600","8,200","8,300","8,100","7,700","6,700","6,700","7,300","7,500","7,800","8,200","8,300","8,500","8,400","8,600","8,500","7,800","7,100","7,300","7,200","6,100","6,900","7,300","7,300","7,500","7,500","7,700","7,700","7,700","7,200","7,400","7,200","7,100","7,400","7,500","7,500","7,500","7,500","7,600","7,300"
21,2020,036084,,,1,20-238000,        Specialty Trade Contractors,"29,700","29,300","29,900","30,000","30,200","30,800","31,200","31,500","30,500","30,500","30,000","28,900","28,100","27,700","27,400","28,100","28,700","29,400","30,800","31,700","31,900","32,300","32,000","31,700","30,300","30,500","30,200","30,700","32,000","32,800","33,600","34,200","34,400","35,200","34,900","34,800","34,300","34,600","35,200","35,500","36,000","36,900","37,600","38,500","38,000","38,200","37,700","37,000","35,800","36,400","36,400","36,900","37,800","38,600","39,400","40,500","40,500","40,500","40,500","39,200","39,300","39,200","40,000","40,500","41,300","41,900","42,700","43,700","43,700","44,100","44,100","43,700","42,300","43,000","43,100","44,500","44,900","45,300","46,000","46,600","46,500","47,800","47,000","46,000","44,500","44,900","45,600","45,900","46,900","47,500","48,300","48,700","48,600","48,600","48,500","48,200","47,300","49,100","48,600","49,400","49,900","50,100","50,900","50,800","51,400","51,600","51,500","50,700","48,700","49,100","50,200","51,000","51,800","52,300","52,700","52,800","52,700","52,500","52,400","51,200","50,700","51,800","51,300","35,700","44,500","47,800","48,000","48,600","48,600","49,200","48,200","48,700","51,000","50,800","50,900","49,500","52,500","50,900","49,100","50,400","51,000","50,400","47,500"
22,2020,036084,,,1,20-238100,          Building Foundation & Exterior Contractors,"6,300","6,100","6,200","6,300","6,500","6,500","6,800","6,800","6,500","6,600","6,500","6,100","5,900","5,600","5,600","5,800","6,000","6,000","6,200","6,500","6,400","6,400","6,400","6,200","5,800","5,600","5,300","5,500","6,000","6,000","6,400","6,400","6,500","6,800","6,800","6,700","6,400","6,400","6,200","6,200","6,400","6,600","6,600","6,800","6,700","6,700","6,700","6,500","6,200","6,300","6,300","6,200","6,400","6,500","6,700","6,900","6,900","6,900","6,900","6,500","6,600","6,700","6,800","6,900","7,000","7,300","7,600","7,800","7,700","8,000","8,100","8,100","7,500","7,500","7,700","7,800","7,800","8,000","7,900","7,900","7,900","8,600","8,200","8,100","8,000","8,000","8,400","8,400","8,500","8,500","8,700","8,900","8,800","8,800","8,900","8,900","8,500","9,200","8,800","9,000","9,200","9,200","9,200","9,100","9,100","9,100","9,100","8,900","8,200","8,300","8,600","8,900","9,100","9,300","9,300","9,400","9,400","9,300","9,500","9,100","8,900","9,200","9,100","6,400","8,100","8,700","8,600","8,600","8,600","8,800","8,800","8,800","9,100","9,300","9,400","9,200","9,800","9,800","9,500","9,600","9,600","9,700","9,300"
