10,2020,000091,"113000, 210000-813000, 92000",,1,00-000000,  Total Nonfarm,580,580,610,690,760,860,810,790,770,750,710,650,660,650,690,670,740,780,750,790,780,750,670,610,570,580,570,540,640,720,680,660,690,690,630,570,570,570,580,570,640,710,680,690,680,690,630,630,610,610,600,610,670,720,670,680,670,650,590,580,580,540,530,590,640,660,620,620,660,660,590,590,560,560,570,580,600,650,620,610,650,640,590,560,540,540,550,540,580,610,580,590,610,600,550,540,520,520,530,520,590,620,570,570,590,610,550,550,530,540,550,560,620,650,660,650,680,670,650,630,590,580,580,520,560,610,580,600,630,640,610,570,560,570,590,590,650,690,700,680,700,680,650
11,2020,000091,"113000, 210000-813000",,1,05-000000,    Total Private,180,170,180,210,260,330,340,340,330,340,290,250,270,260,280,290,350,360,400,410,410,380,300,240,210,210,200,200,260,320,330,330,330,310,270,220,230,220,210,220,280,330,360,360,320,330,270,260,260,250,240,250,300,340,340,330,300,280,230,210,210,190,180,230,250,270,280,270,280,270,220,220,200,210,210,220,240,270,280,280,280,250,220,200,200,200,200,190,220,240,250,250,250,240,200,200,180,180,180,170,220,250,250,250,240,250,190,200,180,180,190,190,230,260,290,280,280,270,230,220,200,200,200,160,200,240,240,260,260,260,230,220,210,210,210,220,260,290,310,330,330,320,270
12,2020,000091,"113000, 210000, 230000-330000",,1,06-000000,    Goods Producing,10,10,20,20,20,40,50,50,50,50,40,20,20,10,10,10,20,20,30,30,40,40,40,20,20,10,10,10,30,40,40,40,40,50,40,20,20,10,10,10,20,40,40,40,40,40,40,30,20,20,20,20,30,50,50,60,60,60,50,50,40,30,30,40,40,40,50,50,50,60,50,50,40,40,40,50,50,50,60,60,60,50,50,30,30,20,20,20,20,30,30,30,30,20,30,20,20,20,20,20,20,30,30,40,40,40,30,20,30,20,30,30,30,40,40,40,40,40,30,20,20,20,20,20,30,20,20,20,20,30,30,20,20,20,20,20,30,40,40,40,40,40,40
13,2020,000091,"220000, 420000-813000, 92000",,1,07-000000,    Service Providing,570,570,590,670,740,820,760,740,720,700,670,630,640,640,680,660,720,760,720,760,740,710,630,590,550,570,560,530,610,680,640,620,650,640,590,550,550,560,570,560,620,670,640,650,640,650,590,600,590,590,580,590,640,670,620,620,610,590,540,530,540,510,500,550,600,620,570,570,610,600,540,540,520,520,520,530,560,600,570,550,590,580,540,530,510,520,530,520,560,580,550,560,580,580,530,520,500,500,500,500,560,590,540,530,560,570,530,520,500,510,520,520,590,610,620,610,640,630,610,610,570,560,560,500,540,590,550,580,620,620,580,550,530,550,560,570,620,660,650,640,650,640,610
14,2020,000091,,,1,08-000000,    Private Service Providing,170,160,160,190,240,290,290,290,280,290,250,230,250,250,270,280,330,340,370,380,370,340,260,220,190,200,190,190,230,280,290,290,290,260,230,200,210,210,200,210,260,290,320,320,280,290,230,230,240,230,220,230,270,290,290,270,240,220,180,160,170,160,150,190,210,230,230,220,230,210,170,170,170,170,170,170,190,220,230,220,220,200,170,170,160,170,170,170,200,210,220,220,220,220,180,170,160,160,160,150,200,220,220,210,210,210,160,170,160,150,160,160,200,230,250,240,240,230,200,200,180,180,180,140,180,220,220,240,240,230,200,200,190,190,190,200,230,250,270,290,290,280,240
15,2020,000091,"910000, 920000, 930000, 940000",,1,90-000000,      Government,400,410,430,480,500,530,470,450,440,410,420,400,390,390,410,380,390,420,350,380,370,370,370,370,360,370,370,340,380,400,350,330,360,380,360,350,340,350,370,350,360,380,320,330,360,360,360,370,350,360,360,360,370,380,330,350,370,370,360,370,370,350,350,360,390,390,340,350,380,390,370,370,350,350,360,360,370,380,340,330,370,390,370,360,350,340,350,350,370,370,330,330,360,370,350,340,340,340,350,350,360,370,320,320,350,370,360,350,350,360,360,360,390,380,370,360,400,400,420,410,390,380,380,350,360,370,330,340,380,390,380,350,350,360,370,380,390,410,380,350,370,370,380
16,2020,000091,910000-912999,,1,90-910000,        Federal Government,40,40,50,50,60,80,70,70,70,60,60,50,50,40,40,40,60,70,70,80,70,60,50,50,40,40,40,40,60,70,70,70,70,70,60,50,40,40,40,40,40,60,60,60,60,60,50,50,40,40,40,40,50,60,60,60,50,60,40,40,40,40,30,40,50,60,60,60,60,60,40,40,30,30,40,30,40,60,60,60,60,60,50,40,30,30,30,30,40,50,50,50,50,50,40,40,30,30,30,40,40,60,60,60,50,50,50,40,30,40,30,40,40,50,50,50,50,50,40,40,30,30,30,30,40,50,40,50,50,50,40,40,40,40,40,40,50,60,60,60,60,50,50
17,2020,000091,"920000, 930000",,1,90-940000,        State & Local Government,360,370,380,430,440,450,400,380,370,350,360,350,340,350,370,340,330,350,280,300,300,310,320,320,320,330,330,300,320,330,280,260,290,310,300,300,300,310,330,310,320,320,260,270,300,300,310,320,310,320,320,320,320,320,270,290,320,310,320,330,330,310,320,320,340,330,280,290,320,330,330,330,320,310,320,330,330,320,280,270,310,330,320,320,310,310,320,320,330,320,280,280,310,310,310,310,310,310,310,310,320,310,270,270,300,310,320,310,310,320,330,330,350,330,320,310,350,360,380,370,360,350,350,320,320,330,290,290,330,340,340,310,310,330,340,340,350,350,330,290,310,310,330
18,2020,000091,"921611, 922999",,1,90-920000,          State Government,40,40,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,60,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,60,60,60,60,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,50,50,40,40,40,50,50,50,50,50,50,50,50,50,50,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
19,2020,000091,"931611, 939012, 939022, 932994",,1,90-930000,          Local Government,320,330,340,390,400,410,360,340,330,310,320,310,290,300,320,290,280,300,230,250,250,260,270,270,270,280,280,250,270,280,230,210,240,260,250,250,240,250,270,250,260,260,200,210,240,240,250,250,240,250,250,250,250,250,200,220,250,240,250,260,260,240,250,250,270,260,210,220,260,270,270,270,260,260,260,270,270,270,220,220,260,280,270,270,260,260,270,270,270,260,230,230,260,270,260,260,250,260,260,260,270,260,220,220,260,270,270,270,270,280,290,280,300,290,270,270,300,310,330,330,310,300,300,280,280,290,250,240,290,300,300,270,270,290,300,300,310,320,290,260,270,280,290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES: The unemployment rate is calculated using unrounded data. Data may not add due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note on column C:  County FIPS code or MSA designation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note on column E:  the historical series has a non-economic break in January of years displayed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note on column F:  a '1' means the cell is currently estimated & published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                             a '2' means the cell is currently published but is determined by addition or subtraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                             a '5' means the cell is currently published, is made up of multiple NAICS codes and is determined by addition or subtraction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note on column G:  'SS-NAICS' refers to the North American Industry Classification System.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
