OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
106074011,SAN RAMON REGIONAL MEDICAL CENTER SOUTH BUILDING,140000345,Consolidated Facility,7777 Norris Canyon Rd,San Ramon,94583,7,Contra Costa,None,64,Open,2008-06-01,Hospital,General Acute Care Hospital,37.77405,-121.95748
106074017,SAN RAMON REGIONAL MEDICAL CENTER,140000345,Parent Facility,6001 Norris Canyon Rd,San Ramon,94583,7,Contra Costa,Emergency - Basic,123,Open,1990-02-12,Hospital,General Acute Care Hospital,37.77549,-121.95884
106074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,140000418,Parent Facility,2740 GRANT ST,CONCORD,94520,7,Contra Costa,Not Applicable,73,Open,1993-03-10,Hospital,Acute Psychiatric Hospital,37.98921,-122.04081
106074093,KAISER FOUNDATION HOSPITAL - RICHMOND CAMPUS,140000052,Consolidated Facility,901 Nevin Ave,Richmond,94801,7,Contra Costa,Emergency - Basic,50,Open,1995-09-07,Hospital,General Acute Care Hospital,37.93685,-122.36093
106074097,KAISER FOUNDATION HOSPITAL - ANTIOCH,550000614,Parent Facility,4501 SAND CREEK ROAD,ANTIOCH,94531,7,Contra Costa,Emergency - Basic,150,Open,2007-11-07,Hospital,General Acute Care Hospital,37.951975,-121.776854
106084001,SUTTER COAST HOSPITAL,110000067,Parent Facility,800 E WASHINGTON BLVD,CRESCENT CITY,95531,8,Del Norte,Emergency - Basic,49,Open,1946-01-01,Hospital,General Acute Care Hospital,41.77278,-124.19514
106090793,BARTON MEMORIAL HOSPITAL,030000013,Parent Facility,2170 South Ave,South Lake Tahoe,96150,9,El Dorado,Emergency - Basic,111,Open,1963-11-21,Hospital,General Acute Care Hospital,38.91228,-119.99758
106090933,MARSHALL MEDICAL CENTER,030000059,Parent Facility,1100 Marshall Way,Placerville,95667,9,El Dorado,Emergency - Basic,125,Open,1959-05-22,Hospital,General Acute Care Hospital,38.72556,-120.79092
106094002,TELECARE EL DORADO COUNTY P.H.F.,M20016057,Parent Facility,935B SPRING ST,PLACERVILLE,95667,9,El Dorado,Not Applicable,16,Open,1988-01-29,Hospital,Psychiatric Health Facility,38.7322,-120.80275
106100005,CLOVIS COMMUNITY MEDICAL CENTER,040000004,Parent Facility,2755 Herndon Ave,Clovis,93611,10,Fresno,Emergency - Basic,208,Open,1988-12-15,Hospital,General Acute Care Hospital,36.83745,-119.66072
106100697,COALINGA REGIONAL MEDICAL CENTER,040000085,Parent Facility,1191 Phelps Ave,Coalinga,93210,10,Fresno,Emergency - Standby,123,Open,2020-12-02,Hospital,General Acute Care Hospital,36.15152,-120.34035
106100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,040000096,Parent Facility,2823 Fresno St,Fresno,93721,10,Fresno,Emergency - Comprehensive,685,Open,1946-01-01,Hospital,General Acute Care Hospital,36.74252,-119.784071
106100793,ADVENTIST HEALTH SELMA,550001439,Consolidated Facility,1141 Rose Ave,Selma,93662,10,Fresno,Emergency - Standby,62,Open,2005-10-29,Hospital,General Acute Care Hospital,36.5688374,-119.5983879
106100797,ADVENTIST HEALTH REEDLEY,040000149,Parent Facility,372 W CYPRESS AVE,REEDLEY,93654,10,Fresno,Emergency - Standby,49,Open,1965-04-14,Hospital,General Acute Care Hospital,36.60789,-119.45145
106100899,ST. AGNES MEDICAL CENTER,040000173,Parent Facility,1303 E Herndon Ave,Fresno,93720,10,Fresno,Emergency - Basic,436,Open,1975-03-22,Hospital,General Acute Care Hospital,36.8370782,-119.7649963
106104008,COMMUNITY BEHAVIORAL HEALTH CENTER,040000096,Consolidated Facility,7171 N Cedar Ave,Fresno,93720,10,Fresno,None,73,Open,1987-10-01,Hospital,General Acute Care Hospital,36.84079,-119.756841
106104023,SAN JOAQUIN VALLEY REHABILITATION HOSPITAL,040000280,Parent Facility,7173 N Sharon Ave,Fresno,93720,10,Fresno,None,62,Open,1991-01-23,Hospital,General Acute Care Hospital,36.84034,-119.760671
106104047,FRESNO SURGICAL HOSPITAL,040000332,Parent Facility,6125 N FRESNO ST,FRESNO,93710,10,Fresno,None,27,Open,1993-02-23,Hospital,General Acute Care Hospital,36.82531,-119.78155
106104062,KAISER FOUNDATION HOSPITAL - FRESNO,040000384,Parent Facility,7300 N FRESNO ST,FRESNO,93720,10,Fresno,Emergency - Basic,169,Open,1995-02-23,Hospital,General Acute Care Hospital,36.84246,-119.7832
106104089,EXODUS PSYCHIATRIC HEALTH FACILITY FRESNO,M20016059,Parent Facility,4411 E Kings Canyon Rd,Fresno,93702,10,Fresno,Not Applicable,16,Open,2016-01-01,Hospital,Psychiatric Health Facility,36.73596,-119.75162
106105029,FRESNO HEART AND SURGICAL HOSPITAL,040000096,Consolidated Facility,15 E Audubon Dr,Fresno,93720,10,Fresno,None,57,Open,2015-09-01,Hospital,General Acute Care Hospital,36.860919,-119.788856
106105051,DEPARTMENT OF STATE HOSPITAL - COALINGA,550000061,Parent Facility,24511 WEST JAYNE AVENUE,COALINGA,93210,10,Fresno,Not Applicable,"1,500",Open,2005-08-25,Hospital,Acute Psychiatric Hospital,36.13724021,-120.23723802
106105125,CENTRAL STAR PSYCHIATRIC HEALTH FACILITY,M20016058,Parent Facility,4411 E Kings Canyon Rd,Fresno,93702,10,Fresno,Not Applicable,16,Open,2015-04-17,Hospital,Psychiatric Health Facility,36.73596,-119.75162
106110889,GLENN MEDICAL CENTER,230000018,Parent Facility,1133 W SYCAMORE ST,WILLOWS,95988,11,Glenn,Emergency - Standby,47,Open,1953-07-01,Hospital,General Acute Care Hospital,39.52055,-122.20791
106120981,"GENERAL HOSPITAL, THE",110000075,Consolidated Facility,2200 HARRISON AVE,EUREKA,95501,12,Humboldt,None,15,Open,1953-07-01,Hospital,General Acute Care Hospital,40.78743,-124.13979
106121002,MAD RIVER COMMUNITY HOSPITAL,110000031,Parent Facility,3800 JANES RD,ARCATA,95521,12,Humboldt,Emergency - Basic,78,Open,1972-10-26,Hospital,General Acute Care Hospital,40.90351,-124.09038
106121031,JEROLD PHELPS COMMUNITY HOSPITAL,110000052,Parent Facility,733 CEDAR ST,GARBERVILLE,95542,12,Humboldt,Emergency - Standby,17,Open,1963-08-20,Hospital,General Acute Care Hospital,40.10195,-123.79286
106121051,PROVIDENCE REDWOOD MEMORIAL HOSPITAL,110000173,Parent Facility,3300 RENNER DR,FORTUNA,95540,12,Humboldt,Emergency - Basic,35,Open,1957-03-19,Hospital,General Acute Care Hospital,40.58267,-124.13549
106121080,PROVIDENCE ST. JOSEPH HOSPITAL - EUREKA,110000075,Parent Facility,2700 DOLBEER ST,EUREKA,95501,12,Humboldt,Emergency - Basic,138,Open,1954-07-26,Hospital,General Acute Care Hospital,40.7832,-124.14216
106124004,SEMPERVIRENS P.H.F.,M01016003,Parent Facility,720 WOOD ST,EUREKA,95501,12,Humboldt,Not Applicable,16,Open,1988-01-29,Hospital,Psychiatric Health Facility,40.78109,-124.16126
106130699,EL CENTRO REGIONAL MEDICAL CENTER,090000004,Parent Facility,1415 ROSS AVE,EL CENTRO,92243,13,Imperial,Emergency - Basic,161,Open,1967-01-21,Hospital,General Acute Care Hospital,32.78138,-115.49824
106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,090000087,Parent Facility,207 W LEGION RD,BRAWLEY,92227,13,Imperial,Emergency - Basic,107,Open,1950-11-06,Hospital,General Acute Care Hospital,32.96003,-115.55183
106141273,NORTHERN INYO HOSPITAL,240000179,Parent Facility,150 PIONEER LN,BISHOP,93514,14,Inyo,Emergency - Basic,25,Open,1948-05-14,Hospital,General Acute Care Hospital,37.36207,-118.40756
106141338,SOUTHERN INYO HOSPITAL,240000205,Parent Facility,501 E Locust St,Lone Pine,93545,14,Inyo,Emergency - Standby,37,Open,1952-03-31,Hospital,General Acute Care Hospital,36.6084,-118.05816
106150706,ADVENTIST HEALTH DELANO,120000180,Parent Facility,1401 GARCES HWY,DELANO,93215,15,Kern,Emergency - Basic,156,Open,1974-01-01,Hospital,General Acute Care Hospital,35.76143,-119.23706
106150722,BAKERSFIELD MEMORIAL HOSPITAL,120000181,Parent Facility,420 34th St,Bakersfield,93301,15,Kern,Emergency - Basic,385,Open,1956-09-27,Hospital,General Acute Care Hospital,35.39051,-119.00658
106150736,KERN MEDICAL CENTER,120000182,Parent Facility,1700 MOUNT VERNON AVENUE,BAKERSFIELD,93306,15,Kern,Emergency - Basic,222,Open,1953-07-01,Hospital,General Acute Care Hospital,35.380833,-118.967222
106150737,KERN VALLEY HEALTHCARE DISTRICT,120000183,Parent Facility,6412 LAUREL AVE,LAKE ISABELLA,93240,15,Kern,Emergency - Standby,101,Open,1968-06-17,Hospital,General Acute Care Hospital,35.63486,-118.40509
106150761,MERCY HOSPITAL - BAKERSFIELD,120000184,Parent Facility,2215 TRUXTUN AVE,BAKERSFIELD,93301,15,Kern,Emergency - Basic,144,Open,1947-01-01,Hospital,General Acute Care Hospital,35.37323,-119.02715
106150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,120000146,Parent Facility,901 OLIVE DR,BAKERSFIELD,93308,15,Kern,None,64,Open,1960-05-10,Hospital,General Acute Care Hospital,35.41216,-119.03913
106150782,RIDGECREST REGIONAL HOSPITAL,120000186,Parent Facility,1081 N CHINA LAKE BLVD,RIDGECREST,93555,15,Kern,Emergency - Basic,98,Open,1946-09-30,Hospital,General Acute Care Hospital,35.6404,-117.66996
106150788,ADVENTIST HEALTH BAKERSFIELD,120000187,Parent Facility,2615 CHESTER AVE,BAKERSFIELD,93301,15,Kern,Emergency - Basic,254,Open,1973-05-01,Hospital,General Acute Care Hospital,35.383064,-119.018775
106154022,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BAKERSFIELD,120000248,Parent Facility,5001 COMMERCE DR,BAKERSFIELD,93309,15,Kern,None,86,Open,1990-05-01,Hospital,General Acute Care Hospital,35.36819,-119.05725
106154044,"BAKERSFIELD BEHAVORIAL HEALTHCARE HOSPITAL, LLC",550003535,Parent Facility,5201 White Ln,Bakersfield,93309,15,Kern,Not Applicable,90,Open,2016-06-01,Hospital,Acute Psychiatric Hospital,35.318,-119.0581
106154101,BAKERSFIELD HEART HOSPITAL,120000526,Parent Facility,3001 SILLECT AVE,BAKERSFIELD,93308,15,Kern,Emergency - Basic,47,Open,1999-09-10,Hospital,General Acute Care Hospital,35.38619,-119.04314
106154108,MERCY SOUTHWEST HOSPITAL,120000184,Consolidated Facility,400 OLD RIVER RD,BAKERSFIELD,93311,15,Kern,Emergency - Basic,82,Open,1992-07-15,Hospital,General Acute Care Hospital,35.35496,-119.11528
106154160,CRESTWOOD PSYCHIATRIC HEALTH FACILITY BAKERSFIELD,M02016045,Parent Facility,6700 Eucalyptus Dr,Bakersfield,93306,15,Kern,Not Applicable,16,Open,2010-11-15,Hospital,Psychiatric Health Facility,35.3657603,-118.929706
106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,120000188,Parent Facility,Magellan Dr,Tehachapi,93561,15,Kern,Emergency - Basic,25,Open,2018-11-01,Hospital,General Acute Care Hospital,35.14302,-118.44924
106164029,ADVENTIST HEALTH HANFORD,550001439,Parent Facility,115 Mall Dr,Hanford,93230,16,Kings,Emergency - Basic,173,Open,2010-12-05,Hospital,General Acute Care Hospital,36.3256247,-119.6683912
106171049,ADVENTIST HEALTH CLEARLAKE,110000174,Parent Facility,15630 18th Ave,Clearlake,95422,17,Lake,Emergency - Standby,32,Open,1968-04-18,Hospital,General Acute Care Hospital,38.93619,-122.6202
106171395,SUTTER LAKESIDE HOSPITAL,110000094,Parent Facility,5176 HILL RD E,LAKEPORT,95453,17,Lake,Emergency - Basic,30,Open,1978-04-28,Hospital,General Acute Care Hospital,39.10232,-122.91003
106184008,BANNER LASSEN MEDICAL CENTER,230000020,Parent Facility,1800 SPRING RIDGE DR,SUSANVILLE,96130,18,Lassen,Emergency - Basic,25,Open,2003-04-23,Hospital,General Acute Care Hospital,40.42306,-120.64609
106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,930000005,Parent Facility,100 S RAYMOND AVE,ALHAMBRA,91801,19,Los Angeles,Emergency - Basic,144,Open,1946-01-01,Hospital,General Acute Care Hospital,34.08988,-118.1449
106190020,BHC ALHAMBRA HOSPITAL,930000006,Parent Facility,4619 ROSEMEAD BLVD,ROSEMEAD,91770,19,Los Angeles,Not Applicable,97,Open,1946-01-01,Hospital,Acute Psychiatric Hospital,34.08926,-118.07352
106190034,ANTELOPE VALLEY HOSPITAL,930000008,Parent Facility,1600 W AVE J,LANCASTER,93534,19,Los Angeles,Emergency - Basic,420,Open,1955-09-27,Hospital,General Acute Care Hospital,34.6878,-118.157981
106190040,BEST CARE UNLIMITED HOME HEALTH,550006489,Parent Facility,13425 Ventura Blvd,Sherman Oaks,91423,19,Los Angeles,Not Applicable,0,Open,2021-07-06,Home Health Agency/Hospice,Home Health Agency,34.14735,-118.42578
106190045,CATALINA ISLAND MEDICAL CENTER,930000010,Parent Facility,100 FALLS CANYON RD,AVALON,90704,19,Los Angeles,Emergency - Standby,12,Open,1946-01-01,Hospital,General Acute Care Hospital,33.33887,-118.33369
106190049,KINDRED HOSPITAL - BALDWIN PARK,930000390,Parent Facility,14148 FRANCISQUITO AVE,BALDWIN PARK,91706,19,Los Angeles,None,95,Open,2003-12-23,Hospital,General Acute Care Hospital,34.06288,-117.967611
106190052,BARLOW RESPIRATORY HOSPITAL,930000011,Parent Facility,2000 STADIUM WAY,LOS ANGELES,90026,19,Los Angeles,None,105,Open,1946-01-01,Hospital,General Acute Care Hospital,34.08058,-118.24744
106190053,ST. MARY MEDICAL CENTER - LONG BEACH,930000012,Parent Facility,1050 Linden Ave,Long Beach,90813,19,Los Angeles,Emergency - Basic,360,Open,1946-01-01,Hospital,General Acute Care Hospital,33.7802376,-118.1866412
106190066,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,930000039,Consolidated Facility,9542 Artesia Blvd,Bellflower,90706,19,Los Angeles,Emergency - Basic,144,Open,2015-07-23,Hospital,General Acute Care Hospital,33.87472,-118.12945
106190081,BEVERLY HOSPITAL,930000389,Parent Facility,309 W BEVERLY BLVD,MONTEBELLO,90640,19,Los Angeles,Emergency - Basic,202,Open,1946-01-01,Hospital,General Acute Care Hospital,34.01614,-118.10132
106190110,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,930000066,Consolidated Facility,3828 Delmas Ter,Culver City,90232,19,Los Angeles,Emergency - Basic,453,Open,2013-01-01,Hospital,General Acute Care Hospital,34.0231953,-118.3969429
106190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,930000024,Parent Facility,1401 S GRAND AVE,LOS ANGELES,90015,19,Los Angeles,Emergency - Basic,318,Open,1946-01-01,Hospital,General Acute Care Hospital,34.03721,-118.26551
106190137,CASA COLINA HOSPITAL,930000026,Parent Facility,255 E Bonita Ave,Pomona,91767,19,Los Angeles,None,99,Open,1961-02-28,Hospital,General Acute Care Hospital,34.096265,-117.745655
106190148,CENTINELA HOSPITAL MEDICAL CENTER,930000027,Parent Facility,555 E HARDY ST,INGLEWOOD,90301,19,Los Angeles,Emergency - Basic,362,Open,1946-01-01,Hospital,General Acute Care Hospital,33.94917,-118.34788
106190150,KEDREN COMMUNITY MENTAL HEALTH CENTER,930000028,Parent Facility,4211 Avalon Blvd,Los Angeles,90011,19,Los Angeles,Not Applicable,72,Open,1973-10-17,Hospital,Acute Psychiatric Hospital,34.0073123,-118.2661803
106190155,"CALIFORNIA REHABILITATION INSTITUTE, LLC",930000029,Parent Facility,2070 Century Park E,Los Angeles,90067,19,Los Angeles,None,138,Open,2016-07-19,Hospital,General Acute Care Hospital,34.05899,-118.4124
106190163,AURORA CHARTER OAK,930000031,Parent Facility,1161 E COVINA BLVD,COVINA,91724,19,Los Angeles,Not Applicable,134,Open,1946-01-01,Hospital,Acute Psychiatric Hospital,34.10038,-117.866811
106190170,CHILDREN'S HOSPITAL OF LOS ANGELES,930000032,Parent Facility,4650 W Sunset Blvd,Los Angeles,90027,19,Los Angeles,Emergency - Basic,495,Open,1946-01-01,Hospital,General Acute Care Hospital,34.0978692,-118.2909547
106190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,930000033,Parent Facility,1500 Duarte Rd,Duarte,91010,19,Los Angeles,None,217,Open,1946-03-08,Hospital,General Acute Care Hospital,34.13219,-117.97356
106190184,COLLEGE HOSPITAL,930000036,Parent Facility,10802 College Pl,Cerritos,90703,19,Los Angeles,Not Applicable,187,Open,1974-04-14,Hospital,Acute Psychiatric Hospital,33.8852,-118.10264
106190196,KINDRED HOSPITAL - SOUTH BAY,930000037,Parent Facility,1246 W 155TH ST,GARDENA,90247,19,Los Angeles,None,54,Open,1957-07-17,Hospital,General Acute Care Hospital,33.89042,-118.29701
106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,930000038,Parent Facility,2623 E SLAUSON AVE,HUNTINGTON PARK,90255,19,Los Angeles,Emergency - Basic,81,Open,1957-12-31,Hospital,General Acute Care Hospital,33.98929,-118.22466
106190198,LOS ANGELES COMMUNITY HOSPITAL,930000039,Parent Facility,4081 E OLYMPIC BLVD,LOS ANGELES,90023,19,Los Angeles,Emergency - Standby,130,Open,1957-10-24,Hospital,General Acute Care Hospital,34.01897,-118.1875
106190200,SAN GABRIEL VALLEY MEDICAL CENTER,930000041,Parent Facility,438 W LAS TUNAS DR,SAN GABRIEL,91776,19,Los Angeles,Emergency - Basic,273,Open,1960-08-17,Hospital,General Acute Care Hospital,34.1024,-118.10503
106190232,DEL AMO HOSPITAL,930000045,Parent Facility,23700 Camino del Sol,Torrance,90505,19,Los Angeles,Not Applicable,166,Open,1972-10-25,Hospital,Acute Psychiatric Hospital,33.80883,-118.34418
106190240,LAKEWOOD REGIONAL MEDICAL CENTER,930000046,Parent Facility,3700 South St,Lakewood,90712,19,Los Angeles,Emergency - Basic,172,Open,1972-05-17,Hospital,General Acute Care Hospital,33.859731,-118.1492012
106190243,PIH HEALTH HOSPITAL - DOWNEY,930000048,Parent Facility,11500 Brookshire Ave,Downey,90241,19,Los Angeles,Emergency - Basic,199,Open,1969-09-18,Hospital,General Acute Care Hospital,33.93515,-118.13196
106190256,EAST LOS ANGELES DOCTORS HOSPITAL,930000049,Parent Facility,4060 WHITTIER BLVD,LOS ANGELES,90023,19,Los Angeles,Emergency - Basic,127,Open,1949-08-15,Hospital,General Acute Care Hospital,34.02383,-118.18377
106190280,ENCINO HOSPITAL MEDICAL CENTER,930000051,Parent Facility,16237 VENTURA BLVD,ENCINO,91436,19,Los Angeles,Emergency - Basic,148,Open,1954-11-08,Hospital,General Acute Care Hospital,34.15686,-118.48662
